vertex_no,x,y,z
44809,35.77239227294922,-22.512121200561523,19.128976821899414
30666,3.512769937515259,-26.585500717163086,31.328067779541016
54103,4.680572032928467,-51.43276596069336,13.515547752380371
53896,18.62213706970215,-55.20525360107422,9.237638473510742
53761,26.132450103759766,-54.05217742919922,6.123319149017334
30253,12.319090843200684,-49.526187896728516,-4.20168399810791
30025,11.638737678527832,-39.542354583740234,0.4132530093193054
30004,19.324426651000977,-47.729835510253906,2.2848119735717773
32778,8.221942901611328,-7.747199058532715,49.42753601074219
31077,8.25039291381836,24.168659210205078,38.10944747924805
55895,13.402891159057617,37.44269943237305,19.126955032348633
30775,3.307904005050659,-11.412089347839355,40.1191291809082
31167,3.3976869583129883,11.104216575622559,33.73085021972656
31306,4.090415000915527,21.50969886779785,24.199329376220703
40929,8.79035472869873,-55.9060173034668,51.57463073730469
32589,4.907567977905273,-20.177087783813477,67.86564636230469
31737,14.11927318572998,-42.020729064941406,64.34471130371094
31910,13.361940383911133,-35.92924499511719,42.001304626464844
32185,12.173118591308594,-33.06953430175781,49.008148193359375
35708,32.058204650878906,-28.957691192626953,62.193138122558594
33283,39.277137756347656,-20.781261444091797,56.74759292602539
57342,26.43742561340332,10.32963752746582,49.49445724487305
33574,28.002906799316406,-23.0906925201416,64.9417495727539
33829,16.452096939086914,-24.952648162841797,69.99559020996094
33848,33.606327056884766,-10.860472679138184,58.853065490722656
34548,17.48760986328125,-0.46250298619270325,67.687255859375
42918,26.96901512145996,-43.03661346435547,61.05998229980469
35137,32.58807373046875,-35.86117172241211,43.02088928222656
35590,47.203372955322266,-29.79200553894043,41.249942779541016
45938,57.05039978027344,-10.565089225769043,44.454071044921875
35995,45.235557556152344,-20.373685836791992,54.5802116394043
36346,53.91849136352539,-47.72587966918945,29.310922622680664
36367,54.189491271972656,-44.61033630371094,10.624591827392578
37341,62.1380500793457,-32.863224029541016,31.715286254882812
44891,51.98352813720703,-27.2176456451416,28.232120513916016
37005,55.61991882324219,-29.05427360534668,-5.4913787841796875
59237,47.986629486083984,-20.62993621826172,-10.892098426818848
37934,48.783294677734375,-23.787630081176758,9.337920188903809
37070,56.203269958496094,-39.087162017822266,15.577923774719238
37630,65.01594543457031,-22.478374481201172,1.5164090394973755
38070,39.32530975341797,-12.097919464111328,-7.685834884643555
58038,37.194862365722656,16.773326873779297,-27.340953826904297
39728,40.35932922363281,41.359249114990234,3.66812801361084
46378,49.219749450683594,17.968015670776367,2.280967950820923
38849,38.197513580322266,-0.2966260015964508,16.391904830932617
47947,35.41078567504883,23.914888381958008,-15.71906852722168
48018,32.3501091003418,5.954713821411133,-17.792057037353516
38738,38.1217041015625,5.99795389175415,2.869035005569458
39068,32.077457427978516,23.140718460083008,5.13325309753418
39317,42.50532913208008,21.111478805541992,7.801399230957031
39552,49.334415435791016,31.43971061706543,-7.32251501083374
42565,24.758012771606445,-61.124420166015625,51.854007720947266
42256,25.504119873046875,-65.8366928100586,36.918087005615234
54087,5.258453845977783,-64.29985046386719,24.363656997680664
40626,20.969682693481445,-79.55828094482422,39.75239562988281
53154,10.467840194702148,-87.33780670166016,22.09347915649414
40310,14.770806312561035,-55.420677185058594,61.83329772949219
40818,9.575165748596191,-73.25121307373047,44.644832611083984
44343,50.676265716552734,-59.86283493041992,35.38252258300781
42113,35.054420471191406,-58.22319412231445,46.79601287841797
42167,37.42826461791992,-48.04960632324219,42.39895248413086
51263,28.103050231933594,-88.92449188232422,5.001428127288818
43127,37.56562805175781,-78.2729721069336,5.096672058105469
51186,43.79851531982422,-62.80954360961914,-2.3704710006713867
43788,43.57384490966797,-66.53971099853516,20.44094467163086
43946,42.221527099609375,-57.214698791503906,18.022607803344727
45883,60.221744537353516,-6.813241958618164,22.90068244934082
47194,58.65492248535156,0.2654469907283783,12.372540473937988
46884,51.84024429321289,-9.460639953613281,13.72303581237793
45461,58.025596618652344,-19.662080764770508,34.12696075439453
45360,56.731178283691406,-20.141185760498047,18.81768798828125
47762,50.313751220703125,2.9405770301818848,41.87663269042969
57598,38.109195709228516,15.677396774291992,35.47463607788086
46951,46.67020797729492,20.545225143432617,21.571924209594727
46805,53.63990020751953,1.0243899822235107,4.702880859375
46982,49.82884979248047,10.831464767456055,12.680791854858398
47539,52.321495056152344,8.29934310913086,28.541606903076172
47660,41.44379806518555,1.9618359804153442,33.44659423828125
